Wavelength Signal SignalFiltered 
579.0 13866.1 11143.5
579.6 13857.9 11163.0
580.2 13843.4 11173.7
580.8 13837.6 11184.4
581.3 13822.7 11183.5
581.9 13807.1 11184.1
582.5 13783.8 11174.3
583.0 13752.2 11175.1
583.6 13705.9 11164.0
584.2 13693.3 11144.8
584.8 13655.2 11116.5
585.3 13617.2 11086.8
585.9 13560.6 11066.6
586.5 13509.2 11046.3
587.0 13442.7 11022.4
587.6 13383.6 11010.7
588.2 13318.6 10982.8
588.8 13259.4 10947.2
589.3 13195.1 10917.5
589.9 13119.1 10894.9
590.5 13038.2 10880.3
591.0 12958.8 10852.4
591.6 12889.6 10828.1
592.2 12839.2 10799.3
592.8 12780.1 10759.5
593.3 12732.5 10724.3
593.9 12681.9 10700.8
594.5 12629.7 10671.2
595.0 12594.0 10642.9
595.6 12567.0 10609.2
596.2 12556.4 10570.1
596.8 12539.4 10526.1
597.3 12518.5 10488.7
597.9 12496.9 10447.6
598.5 12479.9 10401.7
599.0 12472.9 10357.7
599.6 12470.5 10307.2
600.2 12468.9 10256.7
600.7 12460.8 10208.0
601.3 12449.2 10163.7
601.9 12428.1 10116.1
602.5 12407.9 10076.3
603.0 12392.9 10032.8
603.6 12368.7 9990.6
604.2 12353.8 9940.5
604.7 12325.6 9896.8
605.3 12290.2 9847.8
605.9 12259.6 9796.6
606.4 12227.9 9754.8
607.0 12206.6 9715.2
607.6 12182.5 9676.2
608.2 12162.7 9640.4
608.7 12146.7 9601.9
609.3 12098.2 9574.1
609.9 12062.2 9539.5
610.4 12036.5 9513.9
611.0 12004.4 9495.7
611.6 11978.7 9469.3
612.1 11952.7 9447.3
612.7 11918.2 9428.4
613.3 11867.2 9412.5
613.8 11823.2 9408.5
614.4 11800.1 9393.6
615.0 11772.2 9393.9
615.6 11738.6 9396.6
616.1 11709.0 9396.1
616.7 11666.2 9408.1
617.3 11620.8 9427.2
617.8 11580.7 9441.0
618.4 11548.1 9457.7
619.0 11505.1 9478.5
619.5 11455.1 9512.3
620.1 11402.6 9544.2
620.7 11349.2 9576.0
621.2 11291.8 9618.0
621.8 11230.5 9660.5
622.4 11164.7 9702.2
623.0 11116.6 9745.3
623.5 11066.0 9778.1
624.1 11012.5 9779.3
624.7 10963.6 9820.6
625.2 10905.9 9866.4
625.8 10854.2 9908.6
626.4 10799.6 9935.2
626.9 10769.1 9945.4
627.5 10728.9 9957.7
628.1 10681.6 9959.4
628.6 10638.3 9975.6
629.2 10603.0 10016.1
629.8 10563.4 10008.9
630.3 10534.2 9992.0
630.9 10504.8 9978.6
631.5 10480.0 9958.2
632.0 10438.3 9944.7
632.6 10411.7 9924.3
633.2 10395.6 9906.9
633.7 10379.9 9878.0
634.3 10358.6 9852.7
634.9 10349.5 9822.7
635.5 10346.4 9792.4
636.0 10343.0 9757.4
636.6 10349.0 9723.8
637.2 10368.0 9696.8
637.7 10384.5 9660.8
638.3 10397.4 9630.6
638.9 10413.3 9606.2
639.4 10435.4 9574.7
640.0 10454.5 9546.2
640.6 10483.8 9514.6
641.1 10520.9 9483.3
641.7 10557.1 9454.2
642.3 10591.5 9421.7
642.8 10638.5 9394.7
643.4 10688.1 9360.2
644.0 10723.3 9332.2
644.5 10732.2 9302.7
645.1 10787.5 9268.8
645.7 10829.3 9238.3
646.2 10866.5 9202.9
646.8 10896.2 9175.0
647.4 10914.2 9148.4
647.9 10928.2 9122.6
648.5 10931.4 9103.9
649.1 10950.2 9073.1
649.6 10989.9 9044.4
650.2 10978.5 9027.6
650.8 10967.2 9007.2
651.3 10959.9 8991.1
651.9 10944.7 8974.2
652.5 10937.7 8951.5
653.0 10916.6 8933.7
653.6 10892.6 8919.3
654.2 10867.4 8901.1
654.7 10843.4 8889.1
655.3 10812.6 8868.1
655.9 10783.6 8853.2
656.4 10747.2 8837.8
657.0 10717.7 8825.0
657.6 10681.2 8811.6
658.1 10653.0 8797.9
658.7 10620.8 8781.9
659.3 10593.9 8778.1
659.8 10563.5 8764.5
660.4 10541.8 8759.1
661.0 10512.8 8753.5
661.5 10480.6 8750.3
662.1 10443.1 8748.2
662.7 10412.5 8744.2
663.2 10381.8 8738.1
663.8 10346.0 8732.4
664.4 10317.0 8721.4
664.9 10282.2 8719.5
665.5 10249.3 8715.3
666.1 10208.6 8709.5
666.6 10175.8 8702.2
667.2 10147.8 8697.5
667.7 10117.1 8695.3
668.3 10088.0 8688.8
668.9 10063.3 8694.2
669.4 10031.4 8706.5
670.0 10010.4 8708.7
670.6 9982.7 8719.5
671.1 9966.8 8729.9
671.7 9947.1 8744.5
672.3 9929.1 8762.5
672.8 9909.3 8784.3
673.4 9881.0 8806.4
674.0 9862.9 8817.9
674.5 9843.1 8825.1
